Metadata,Assets Prior,,,,,Assets Creation,,,,,,,,,Double Checked,Reviewer
Bib ref,Prior Dataset Size,Datasets,Data Type,Data Modality,GPU Days,Needed Assets,Input,Additional Priors,Creation Speed,Time of Creation,Representation,Simulation Ready,Lighting Control,Contents,,
liu2023sewformer,"19,100",SewFactory,Synthetic,Sewing Pattern,,,One,,Instant (<1min),,Mesh,Yes,None,Garment,FALSE,
li2025garmentdreamer,,,,,,,Text,Image Diffusion,Fast (<30min),15 min,3DGS,Yes,None,Garment,FALSE,
li2025dress1to3,,,,,,Tracked 3DMM,One,SewFormer,Medium (<6h),2 hours,Mesh,Yes,None,Garment,FALSE,
li2025dmap,120,CLOTH3D,Synthetic,"Meshes, Sewing Pattern",,Tracked 3DMM,One,Sapiens,Fast (<30min),30 minutes,Mesh,Yes,None,Garment,FALSE,
korosteleva2022neuraltailor,"22,000",Sewing Pattern,Synthetic,"Meshes, Sewing Pattern",3,,Point cloud,,Instant (<1min),,Mesh,Yes,None,Garment,FALSE,
chen2022structure,"22,400",Sewing Pattern,Synthetic,"Meshes, Sewing Pattern",,,One,,Instant (<1min),,Mesh,Yes,None,Garment,FALSE,
he2024dresscode,"19,264",Sewing Pattern,Synthetic,"Meshes, Sewing Pattern",1~2,,Text,,Fast (<30min),3 minutes,Mesh,Yes,None,Garment,FALSE,
nakayama2025aipparel,"120,000",GarmentCodeData-MultiModal,Synthetic,"Meshes, Sewing Pattern, Single image",13,,"One, Text",,Instant (<1min),2.1 seconds,Mesh,Yes,None,Garment,FALSE,
bian2025chatgarment,"20,000",GarmentCodeData,Synthetic,"Sewing Pattern, Meshes, Single image",,,"One, Text",,Instant (<1min),49.5 seconds,Mesh,Yes,None,Garment,FALSE,
xiang2020monoclothcap,,BUFF,Real,Meshes,~0,Tracked 3DMM,Mono video,Semantic segmentation,Fast (<30min),327 seconds,Mesh,No,None,Garment,FALSE,
zhu2022registering,400,RenderPeople,Real,Meshes,6,Tracked 3DMM,One,Garment templates,,,Mesh,No,None,Garment,FALSE,
