Metadata,Avatar Prior,,,,,Avatar Creation,,,,,,Avatar Animation,,,,,,,Double Checked,Reviewer
Bib ref,Prior Dataset Size,Datasets,Data Type,Data Modality,GPU Days,Needed Assets,Input,Additional Priors,Req. Optimization,Creation Speed,Time of Creation,Animation Signal,Lighting Control,Animation Speed,Time of Anim.,Image Synthesis,Image Refinement,Contents,Double Checked,Reviewer
Zielonka2022mica,2315,"LYHM, FaceWarehouse, Stirling, D3DFACS, Florence, BU-3DFE, FRGC, BP4D+, VoxCeleb2, NoW",Real,Single image,,Registered Meshes,One,"FLAME, ArcFace (pretrained on Glint360K)",No,Instant (<1min),,3DMM expr,None,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
Wuu2022multiface,13,Multiface (Mugsy),Real,Multi-view video,,"Tracked 3DMM, Cameras, Registered Meshes, Textures",Multi-view video,,Yes,Slow (>6h),,General expr,None,Real-time (>30 FPS),,Neural Rendering,No,Face,FALSE,
Kirschstein2023nersemble,222,NeRSemble,Real,Multi-view video,,Cameras,Multi-view video,,Yes,Slow (>6h),,Multi-view Image,None,Offline (<1 FPS),,NeRF,No,"Face, Hair",FALSE,
Li2017flame,33000,"CAESAR, D3DFACS, BU-3DFE",Real,Meshes,,Registered Meshes,Meshes,SMPL,Yes,Slow (>6h),,3DMM expr,None,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
Feng2021deca,2000000,"VGGFace2, BUPT-Balancedface, VoxCeleb2, NoW, AFLW2000",Real,Single image,,,One,"FLAME, BFM albedo model, FAN landmarks, VGG19 (ID-MRF loss), Face Recognition Network",No,Instant (<1min),,3DMM expr,Distant Light,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
Sanyal2019ringnet,~800K images (VGGFace2 after cleaning) + ~3000 extreme pose images,"VGGFace2, NoW (100 subjects, 2054 images), CelebA, MultiPIE",Real,Single image,,,One,"FLAME, OpenPose 2D landmarks",No,Instant (<1min),,3DMM expr,None,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
Koizumi2020look,~200K images,"CelebA, ImageNet (for background augmentation)",Real,Single image,,,One,3DMM,No,Instant (<1min),,3DMM expr,None,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
Dib2021towards,250K images,"CelebA, 40K web-collected images, 3DFAW, AFLW2000, WikiHuman (Digital Emily)",Real,Single image,,,One,"3DMM (BFM), Morphable Face Albedo Model (diffuse + specular)",No,Instant (<1min),,3DMM expr,Distant Light,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
Guo2020towards,122450 samples,"300W-LP, AFLW, AFLW2000-3D, Florence, Menpo-3D",Synthetic,Single image,,Tracked 3DMM,One,3DMM (BFM),No,Instant (<1min),,3DMM expr,None,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
