Metadata,Assets Prior,,,,,Assets Creation,,,,,,,,Double Checked,Reviewer
Bib ref,Prior Dataset Size,Datasets,Data Type,Data Modality,GPU Days,Needed Assets,Input,Additional Priors,Creation Speed,Time of Creation,Representation,Simulation Ready,Lighting Control,Contents,Double Checked,Reviewer
pan2025hairgs,Not specified (synthetic and real-world datasets),Synthetic and real-world multi-view datasets,Real + Synthetic,Multi-view images,,,Multi-view images,None reported,~1 hour,,3D Gaussian splatting -> hair strands,No,None,Hair,FALSE,
Grigorev2024contourcraft,Not specified (trained on dynamic human motion sequences with multi-layer outfits),Not specified (diverse multi-layer outfits under dynamic human motions),Synthetic,3D meshes (garment meshes on body),,"Body mesh, Garment meshes",Body motion sequence + garment meshes,"SMPL body model, Graph Neural Networks (GNNs)",Not specified (learned simulation),,Mesh (garment simulation via GNN),Yes,None,Garment (multi-layer clothing simulation with intersection resolution),FALSE,
Luo2024gaussianhair,281 videos (~3000 frames total) in RealHair dataset,"RealHair (custom dataset, 281 high-resolution 4K videos)",Real,Multi-view video (handheld smartphone),,FLAME head mesh,Multi-view video (80-100 frames selected),"FLAME head model, Neural Haircut strand decoder, SfM (COLMAP), pre-trained matting models, Gabor filters for 2D orientation",Slow (>6h),,Cylindrical 3D Gaussians (strand-based),Yes,Point light (Marschner scattering model with UE4 approximation),Hair,FALSE,
Takimoto2024drhair,0 (no pre-training required),"None (optimization-based, no training dataset)",Real + Synthetic,Multi-view images,,Scalp mesh,Multi-view images,"3D orientation estimation (global optimization), Laplace's equation for strand initialization",Fast (<1h),,Explicit hair strands (line segments from scalp),Yes,None,Hair,FALSE,
Zhou2018hairnet,~40000 (synthetic hair models for training),Synthetic rendered hair dataset,Synthetic,Single image (2D orientation field),,,One,2D orientation field extractor,Instant (<1min),,"Explicit hair strands (30K strands, parameterized on 2D scalp)",No,None,Hair,FALSE,
Wu2022neuralhdhair,Not specified,Custom synthetic hair dataset (for training IRHairNet and GrowingNet),Synthetic,Single image,,,Single image,"Hair luminance map, 2D orientation map, voxel-aligned implicit function (VIFu)",Fast (1min-6h),,Hair strands (3D orientation field + occupancy field),No,None,Hair,FALSE,
Hu2015single,343 (686 with augmentation),"The Sims Resource, Newsea SIMS (online game communities)",Synthetic,Single image + user strokes,,3D head model,Single image + user strokes,"Hairstyle database (343 manually crafted 3D hairstyles), facial landmark detection, piecewise helix model",Fast (1min-6h),,"Hair strands (10000 strands, piecewise helices)",No,None,Hair,FALSE,
Zheng2024unihair,Not specified (large-scale synthetic multi-view dataset SynMvHair),SynMvHair (custom synthetic multi-view hair dataset with braided and un-braided styles),Synthetic,Single image,,,Single image,"Two diffusion priors (specialized on hair), 3D Gaussians",Fast (1min-6h),,3D Gaussians,No,None,Hair,FALSE,
Herrera2024augmented,Not applicable,,Synthetic,Strand geometry,,Hair strand geometry,Hair strand models,"Augmented Mass-Spring (AMS) model with ghost rest-shape coupling, heptadiagonal decomposition",Instant (<1min),,Hair strands (mass-spring system),Yes,None,Hair,FALSE,
Stuyck2024quaffure,"N/A (self-supervised, no pre-generated dataset needed)",N/A (self-supervised training using physics-based loss on hair strand equilibrium),Synthetic (self-supervised with physics-based loss),3D hair grooms (strand geometry) + body poses/shapes,,"Hair groom (strand-based), body mesh with skeleton",Hair groom strands + body pose + body shape,"Quasi-static hair physics model (elastic rod equilibrium), body collision model",Instant (few milliseconds inference on consumer hardware; 1000 grooms in 0.3 seconds),,Hair strands (deformed strand positions),Yes,None,Hair,FALSE,
Zhang2019hair,~40K synthetic hair models (for training the GAN),Synthetic hair dataset generated from ~343 hairstyles with random rotations,Synthetic,Single image + 3D volumetric fields,,Bust model (for alignment),Single hair image,"2D hair orientation maps, bust depth map, GAN (generator + discriminator)","Instant (<1min, single forward pass through generator)",,3D volumetric field (occupancy + orientation) -> hair strands,No,None,Hair,FALSE,
